Unit,Region,Station,Addr,Lat,Lon
"交通部","臺北市","台北杭南郵局","100臺北市中正區杭州南路一段23號之3","25.042327","121.526473"
"交通部","臺北市","交通部國際會議中心1、2樓","100臺北市中正區杭州南路一段24號","25.037606","121.52467"
"交通部","臺北市","交通部國際會議中心3、4樓","100臺北市中正區杭州南路一段24號","25.037606","121.52467"
"交通部","臺北市","交通部國際會議中心5樓","100臺北市中正區杭州南路一段24號","25.037606","121.52467"
"交通部","臺北市","台北仁杭郵局","100臺北市中正區杭州南路一段24號1樓","25.0376058","121.5246697"
"行政院農業委員會","臺北市","林務局1樓記者室、2樓會議室、5樓會議室","100臺北市中正區杭州南路一段2號","25.043591","121.526607"
"行政院農業委員會","臺北市","林務局2樓大禮堂、7樓會議室","100臺北市中正區杭州南路一段2號","25.043591","121.526607"
"行政院農業委員會","臺北市","林務局8樓會議室","100臺北市中正區杭州南路一段2號","25.043591","121.526607"
"衛生福利部","臺北市","疾病管制署-疫遊館","100臺北市中正區林森南路6號1樓","25.043293","121.522754"
"財政部","臺北市","臺灣銀行採購部","100臺北市中正區武昌街一段45號3樓","25.044329","121.511374"
"國防部","臺北市","三軍總醫院汀州院區1樓門診大廳","100臺北市中正區汀州路三段40號","25.016687","121.529796"
"交通部","臺北市","台北汀洲郵局","100臺北市中正區汀洲路三段301號","25.011785","121.535881"
"經濟部","臺北市","經濟部國際貿易局2樓廠商服務區","100臺北市中正區湖口街1號","25.033153","121.514748"
"財政部","臺北市","財政部臺北國稅局中正分局民眾服務區","100臺北市中正區潮州街2號1樓","25.029652","121.520917"
"國家發展委員會","臺北市","聯合辦公大樓北棟大廳民眾洽公區","100臺北市中正區濟南路1段2-2號1樓","25.0425125","121.5200967"
"國家通訊傳播委員會","臺北市","國家通訊傳播委員會濟南路辦公室1樓","100臺北市中正區濟南路2段16號1樓","25.041025","121.527765"
"國家通訊傳播委員會","臺北市","國家通訊傳播委員會濟南路辦公室2樓","100臺北市中正區濟南路2段16號2樓","25.041025","121.527765"
"國家通訊傳播委員會","臺北市","國家通訊傳播委員會濟南路辦公室7樓","100臺北市中正區濟南路2段16號7樓","25.041025","121.527765"
"交通部","臺北市","立法院郵局","100臺北市中正區濟南路一段1號","25.0432509","121.519867"
"行政院人事行政總處","臺北市","行政院人事行政總處","100臺北市中正區濟南路一段2-2號10樓","25.042633","121.520183"
"國家發展委員會","臺北市","國家發展委員會濟南辦公區","100臺北市中正區濟南路一段2-2號6樓","25.042726","121.520105"
"外交部","臺北市","外交部領事事務局(3樓大廳)","100臺北市中正區濟南路一段2之2號3樓","25.0425125","121.5200967"
"外交部","臺北市","外交部領事事務局(3樓詢問台)","100臺北市中正區濟南路一段2之2號3樓","25.0425125","121.5200967"
"立法院","臺北市","立法院委員研究大樓會客室","100臺北市中正區濟南路一段3之1號","25.043161","121.521184"
"經濟部","臺北市","標準檢驗局報驗發證業務民眾洽公區","100臺北市中正區濟南路一段4號","25.042573","121.520572"
"經濟部","臺北市","標準檢驗局資料中心閱覽室","100臺北市中正區濟南路一段4號","25.042573","121.520572"
"文化部","臺北市","文化部齊東詩舍","100臺北市中正區濟南路二段27號","25.041178","121.528524"
"勞動部","臺北市","行政院勞動部勞工保險局國民年金業務處洽公櫃台","100臺北市中正區濟南路二段42號1樓","25.040421","121.53045"
"經濟部","臺北市","經濟部C203會議室","100臺北市中正區福州街15號1樓","25.027985","121.516952"
"經濟部","臺北市","經濟部訓練教室1樓","100臺北市中正區福州街15號1樓","25.027985","121.516952"
"經濟部","臺北市","經濟部訓練教室2、3樓","100臺北市中正區福州街15號2樓","25.027985","121.516952"
"經濟部","臺北市","經濟部簡報會議室","100臺北市中正區福州街15號A棟1樓","25.027945","121.516811"
"經濟部","臺北市","經濟部第二會議室","100臺北市中正區福州街15號B棟1樓","25.027945","121.516811"
"經濟部","臺北市","經濟部記者室","100臺北市中正區福州街15號B棟1樓","25.027897","121.516849"
"經濟部","臺北市","經濟部總務司開標室","100臺北市中正區福州街15號D207室","25.028295","121.516814"
"經濟部","臺北市","經濟部商業司民眾服務大廳","100臺北市中正區福州街15號D棟1樓","25.0278968","121.5168487"
"財政部","臺北市","兆豐國際商銀","100臺北市中正區福州街16號","25.028472","121.518171"
"財政部","臺北市","兆豐國際商銀福州大樓","100臺北市中正區福州街16號3樓","25.028472","121.518171"
"財政部","臺北市","兆豐國際商業銀行資訊處福州街大樓8樓","100臺北市中正區福州街16號8樓","25.028472","121.518171"
"交通部","臺北市","台北中山堂郵局","100臺北市中正區秀山街1號","25.043122","121.50896"
"行政院環境保護署","臺北市","行政院環境保護署第2辦公室會議室(12F)","100臺北市中正區秀山街4號12樓","25.042823","121.509143"
"行政院環境保護署","臺北市","行政院環境保護署第2辦公室會議室(13F)","100臺北市中正區秀山街4號13樓","25.042823","121.509143"
"行政院環境保護署","臺北市","行政院環境保護署第2辦公室會議室(14F)","100臺北市中正區秀山街4號14樓","25.042823","121.509143"
"勞動部","臺北市","勞動部北區勞動檢查所會客室","100臺北市中正區紹興北街31巷39號","25.045559","121.526717"
"經濟部","臺北市","投審會5樓辦公區","100臺北市中正區羅斯福路1段7號5樓","25.033561","121.5179367"
"經濟部","臺北市","投審會8樓辦公區","100臺北市中正區羅斯福路1段7號8樓","25.033561","121.5179367"
"財政部","臺北市","兆豐國際商銀南台北分行","100臺北市中正區羅斯福路2段9-1號","25.028703","121.521406"
"勞動部","臺北市","行政院勞動部勞工保險局臺北市辦事處洽公櫃台","100臺北市中正區羅斯福路一段4號1樓","25.033182","121.517642"
"財政部","臺北市","華南商業銀行公館分行","100臺北市中正區羅斯福路三段216號","25.019837","121.530333"
"經濟部","臺北市","台電公司台電大樓主樓會客室","100臺北市中正區羅斯福路三段242號","25.017679","121.531062"
"經濟部","臺北市","台電公司台電大樓副樓會客室","100臺北市中正區羅斯福路三段242號","25.017679","121.531062"
"經濟部","臺北市","中油公司台北直銷中心","100臺北市中正區莒光路2號2樓","25.031393","121.5073019"
"財政部","臺北市","彰化商業銀行城內分行","100臺北市中正區衡陽路68號1樓","25.042473","121.511811"
"財政部","臺北市","彰化商業銀行證券經紀商台北總公司","100臺北市中正區衡陽路68號3樓","25.042483","121.511752"
"財政部","臺北市","兆豐國際商銀衡陽分行","100臺北市中正區衡陽路91號","25.042356","121.510294"
"文化部","臺北市","國立臺灣博物館土銀館1F服務台","100臺北市中正區襄陽路25號","25.0435666","121.5141619"
"文化部","臺北市","國立臺灣博物館本館1F服務台","100臺北市中正區襄陽路2號1F","25.043129","121.515051"
"文化部","臺北市","國立臺灣博物館本館3F視聽教室","100臺北市中正區襄陽路2號3F","25.043129","121.515051"
"財政部","臺北市","兆豐國際商銀城中分行","100臺北市中正區許昌街42號","25.045496","121.515363"
"法務部","臺北市","最高法院檢察署","100臺北市中正區貴陽街1段235號","25.039341","121.509531"
"財政部","臺北市","臺灣銀行公庫部","100臺北市中正區貴陽街一段120號","25.039124","121.508446"
"臺灣高等法院","臺北市","臺灣高等法院民事庭大廈","100臺北市中正區貴陽街一段233號","25.039707","121.50984"
"國防部","臺北市","國防部中華福利站服務台","100臺北市中正區貴陽街一段243號","25.039513","121.507854"
"財政部","臺北市","華南商業銀行營業部","100臺北市中正區重慶南路1段38號","25.045423","121.513016"
"交通部","臺北市","郵政博物館","100臺北市中正區重慶南路2段45號","25.031731","121.514696"
"財政部","臺北市","臺灣銀行營業部","100臺北市中正區重慶南路一段120號","25.041554","121.512909"
"法務部","臺北市","法務部2樓會議室","100臺北市中正區重慶南路一段130號","25.03675","121.51252"
"財政部","臺北市","彰化商業銀行臺北分行","100臺北市中正區重慶南路一段27號","25.045836","121.513381"
"財政部","臺北市","第一商業銀行營業部分行","100臺北市中正區重慶南路一段30號","25.045443","121.512961"
"財政部","臺北市","第一金融控股股份有限公司","100臺北市中正區重慶南路一段30號18樓","25.045462","121.512952"
"交通部","臺北市","台北南海郵局","100臺北市中正區重慶南路二段43號","25.03182","121.514701"
"財政部","臺北市","彰化商業銀行中正分行","100臺北市中正區金山南路一段47號1樓","25.039261","121.528914"
"文化部","臺北市","文化部影視及流行音樂產業局","100臺北市中正區開封街一段三號","25.046169","121.514408"
"金融監督管理委員會","臺北市","上海商銀城中分行","100臺北市中正區館前路28號","25.044713","121.514872"
"財政部","臺北市","臺灣土地銀行營業部","100臺北市中正區館前路46號","25.044135","121.514889"
"財政部","臺北市","臺灣銀行館前分行","100臺北市中正區館前路49號","25.04496","121.515163"
"經濟部","臺北市","行政院台商聯合服務中心","100臺北市中正區館前路71號8樓","25.044021","121.515167"
"財政部","臺北市","合庫營業部營業廳","100臺北市中正區館前路77號","25.044256","121.515226"
"財政部","臺北市","兆豐國際商銀大同分行","103臺北市大同區南京西路113號","25.05386","121.515546"
"財政部","臺北市","彰化商業銀行建成分行","103臺北市大同區南京西路123號1樓","25.054124","121.515143"
"財政部","臺北市","華南商業銀行建成分行","103臺北市大同區南京西路228號","25.053471","121.516256"
"財政部","臺北市","臺灣銀行延平分行","103臺北市大同區南京西路406號","25.053257","121.509926"
"財政部","臺北市","財政部關務署","103臺北市大同區塔城街13號","25.051225","121.51063"
